"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"1","Liverpool",1,25,11,526,54,31,12,40,34,10,18,10,2,11,15,765,31,15,1,5,1,1,"Stoke",0,12,6,428,49,15,6,46,34,14,31,21,1,12,24,669,46,20,1,10,1,0,"1"
"2","Norwich",2,8,2,272,64,29,17,35,22,15,31,6,1,14,12,440,16,5,0,4,0,1,"Everton",2,20,7,564,56,23,13,37,20,13,37,6,3,10,26,758,26,13,0,0,1,0,"0"
"3","Sunderland",0,21,3,462,55,15,7,32,24,5,18,7,3,15,13,603,15,8,0,0,0,0,"Fulham",1,5,1,348,75,14,8,20,13,8,38,11,0,14,18,506,35,17,0,3,1,1,"-1"
"4","Arsenal",1,15,4,525,31,27,14,21,10,15,29,2,3,15,20,703,22,12,1,2,0,0,"Aston Villa",3,10,5,306,63,21,11,35,21,14,37,10,1,19,19,467,10,8,0,3,4,2,"-1"
"5","West Bromwich Albion",0,11,1,368,72,9,5,22,16,5,47,5,1,15,18,523,19,12,0,2,2,0,"Southampton",1,8,3,407,86,14,6,16,11,16,44,6,2,25,13,594,22,13,0,1,1,1,"-1"
"6","West Ham",2,18,4,306,61,17,12,15,11,5,40,16,5,10,29,451,15,8,0,1,0,0,"Cardiff",0,12,1,400,76,9,4,23,11,5,29,8,0,7,23,527,17,10,0,2,2,0,"1"
"7","Swansea",1,17,6,539,44,11,5,18,14,10,40,6,2,13,13,716,19,16,0,3,1,0,"Man Utd",4,14,8,487,69,13,4,14,9,17,51,2,5,10,18,642,15,8,1,5,1,1,"-1"
"8","Crystal Palace",0,5,3,372,64,17,7,38,21,8,33,6,4,9,29,516,18,4,0,2,1,0,"Tottenham",1,18,3,516,63,26,17,31,24,19,43,0,0,8,16,724,33,18,0,3,1,1,"-1"
"9","Chelsea",2,23,6,558,45,12,5,30,13,9,37,5,1,8,27,715,27,18,0,2,3,1,"Hull",0,7,2,517,60,24,17,21,16,19,27,8,2,16,13,681,19,12,2,4,0,0,"1"
"10","Manchester City",4,20,11,669,46,13,9,40,29,11,22,3,3,9,13,842,24,12,0,1,0,0,"Newcastle United",0,6,1,391,49,28,11,22,14,16,30,7,2,8,8,552,26,9,1,7,0,0,"1"
"11","Chelsea",2,15,3,683,60,15,6,22,16,4,35,1,5,13,17,817,18,14,0,2,2,0,"Aston Villa",1,8,3,299,64,13,6,19,13,11,29,5,5,16,22,430,22,11,0,2,1,0,"1"
"12","Fulham",1,16,7,484,57,17,14,28,18,9,29,11,3,10,8,637,14,6,0,5,0,1,"Arsenal",3,19,9,568,67,18,10,23,9,10,30,4,0,9,15,714,15,5,0,6,3,0,"-1"
"13","Hull",1,7,2,372,54,19,9,27,19,18,41,2,1,15,9,543,15,9,1,4,4,0,"Norwich",0,13,4,589,55,17,8,22,13,17,20,1,0,19,10,732,18,8,0,1,3,1,"1"
"14","Southampton",1,17,6,542,84,15,8,14,12,16,51,5,1,11,32,730,23,10,0,2,0,1,"Sunderland",1,8,3,268,54,8,2,27,19,15,39,6,1,13,15,407,14,7,0,5,1,0,"0"
"15","Newcastle United",0,16,0,421,57,21,10,20,17,9,31,8,1,12,29,593,20,6,0,1,2,0,"West Ham",0,6,1,337,58,12,3,34,24,5,41,7,3,15,27,492,14,5,0,0,2,0,"0"
"16","Stoke",2,14,4,420,52,29,13,26,20,11,35,2,1,14,28,609,22,5,3,4,2,0,"Crystal Palace",1,14,5,444,70,7,6,44,31,9,49,10,0,6,24,637,30,11,0,2,3,0,"1"
"17","Everton",0,22,8,488,64,28,15,22,20,12,39,0,5,15,19,679,12,1,0,2,3,1,"West Bromwich Albion",0,7,2,305,61,12,2,38,23,14,48,12,1,17,19,475,22,7,0,8,3,1,"0"
"18","Aston Villa",0,17,3,487,63,16,11,40,31,20,18,12,2,10,15,704,38,18,0,0,3,0,"Liverpool",1,5,1,557,55,21,9,34,23,15,35,16,2,8,18,756,31,9,0,3,0,1,"-1"
"19","Cardiff",3,9,6,278,62,8,7,19,16,15,36,13,4,2,11,420,17,6,0,3,2,0,"Manchester City",2,16,5,640,49,7,3,19,12,4,17,11,2,11,21,783,27,14,2,3,1,1,"1"
"20","Tottenham",1,21,7,461,60,33,22,32,22,10,34,1,0,10,14,645,11,6,0,5,2,0,"Swansea",0,7,5,521,69,16,10,36,14,18,52,8,3,15,22,703,28,10,0,5,0,2,"1"
"21","Man Utd",0,12,3,553,67,16,7,32,22,16,46,1,3,9,23,735,14,4,0,4,0,0,"Chelsea",0,8,4,459,62,23,10,22,15,6,39,7,1,10,19,611,20,11,0,3,1,1,"0"
"22","Manchester City",2,12,6,537,65,6,4,25,18,16,37,1,1,15,19,691,26,9,1,2,1,2,"Hull",0,7,2,385,56,14,7,23,19,13,34,3,1,14,19,532,19,8,0,4,0,1,"1"
"23","Newcastle",1,24,9,471,39,18,10,24,20,16,24,3,0,13,26,654,17,10,1,2,0,0,"Fulham",0,3,2,428,68,9,4,23,13,7,47,12,3,10,14,603,30,14,0,8,5,0,"1"
"24","Norwich",1,14,4,349,75,14,6,36,30,14,33,14,1,11,21,532,22,9,0,2,4,0,"Southampton",0,11,2,488,72,27,6,25,19,3,21,7,6,15,24,643,16,5,0,3,4,1,"1"
"25","Cardiff",0,4,1,315,53,19,12,35,23,19,42,11,4,11,11,482,18,7,0,3,1,0,"Everton",0,13,3,519,65,27,12,27,15,8,30,1,4,7,17,696,21,8,0,1,1,1,"0"
"26","West Ham",0,9,0,335,56,27,16,19,12,14,33,4,1,10,33,489,18,8,1,4,2,0,"Stoke",1,15,5,413,55,10,7,33,17,7,32,4,1,12,34,562,19,10,0,0,4,0,"-1"
"27","Crystal Palace",3,18,7,423,60,23,14,38,28,14,56,7,2,6,32,634,26,10,0,1,2,0,"Sunderland",1,10,2,418,69,20,10,38,24,7,41,5,1,7,22,605,29,11,0,4,0,0,"1"
